AnthonyBrownMD4,1378000346
AustinScottGA08,234797704
BennieGThompson,82453460
BettyMcCollum04,516880804
BillPascrell,74508260
BobbyScott,161791703
boblatta,15394954
BradSherman,30216513
brettguthrie,114607567
Call_Me_Dutch,305620929
cathymcmorris,17976923
chelliepingree,14984637
Clyburn,188019606
ConawayTX11,295685416
congbillposey,25086658
CongBoyle,4304448314
CongCulberson,24183358
CongMikeSimpson,76132891
CongPalazzo,299883942
CongressmanGT,18967498
CongressmanHice,2975091705
CongressmanRaja,814179031956488000
CongressmanRuiz,1089859058
DanaRohrabacher,19139963
DarrellIssa,22509548
daveloebsack,510516465
davereichert,16102244
DavidRouzer,127941167
DesJarlaisTN04,235312723
DonaldNorcross,3122099613
DorisMatsui,38254095
DrNealDunnFL2,815952318487298000
DrPhilRoe,52503751
EleanorNorton,23600262
farenthold,17896154
FrankPallone,31801993
GerryConnolly,78445977
GKButterfield,432676344
GOPLeader,19739126
gracenapolitano,161411080
GreggHarper,23712174
GregoryMeeks,22812754
HerreraBeutler,242926427
HurdOnTheHill,2963445730
JacksonLeeTX18,80612021
jahimes,31611298
janschakowsky,24195214
jasoninthehouse,17800215
JeffFortenberry,18805303
Jim_Jordan,18166778
JimLangevin,18909919
JimPressOffice,851621377
JoaquinCastrotx,231510077
JudgeCarter,18030431
JudgeTedPoe,74198348
JuliaBrownley26,1243902714
justinamash,233842454
keithellison,14135426
KeithRothfus,1155212191
KenCalvert,22545491
KYComer,838462994
LamarSmithTX21,15856366
louiseslaughter,63169388
MacTXPress,377534571
MarioDB,37094727
MarkAmodeiNV2,402719755
MarshaBlackburn,278145569
MaxineWaters,36686040
michaelcburgess,15751083
MikeKellyPA,935368364
NancyPelosi,15764644
nikiinthehouse,242892689
NitaLowey,221792092
NormaJTorres,236279233
NydiaVelazquez,164369297
PatrickMcHenry,27676828
PatTiberi,912608010
PeterRoskam,20015903
PeterWelch,1410590874
PeteSessions,24735461
Raul_Labrador,246341769
RepAbraham,2962891515
RepAdams,2916086925
RepAdamSchiff,29501253
RepAdamSmith,58928690
RepAdrianSmith,296245061
